"RECORD","TP","TN","FP","FN","LEN(oracle)"
"04936",32661,12397,1601,6984,53645
"04048",419,38989,136,387,39933
"07879",39942,16497,61,91,56593
"04043",8540,44399,2961,6012,61914
"05121",32674,14929,1210,1065,49880
"04908",5488,55060,895,314,61759
"04126",3019,38800,771,267,42859
"08215",32958,10180,45,170,43355
"08405",45003,13760,0,90,58855
"08434",2307,37369,171,0,39849
"05091",0,36642,0,133,36777
"08378",11007,33894,145,466,45514
"06453",117,34278,117,322,34836
"04015",480,40814,2670,38,44004
"04746",30731,16906,96,137,47872
"07859",61789,0,0,100,61891
"06426",52086,812,1232,1022,55154
"03665",10979,41417,295,71,52764
"00735",277,39847,52,54,40232
"05261",654,44228,380,269,45533
"07910",6499,29727,104,266,36598
"08219",12629,42578,2557,1526,59292
"07162",39198,0,0,97,39297
"06995",26959,25643,2025,559,55188
"08455",44103,15248,39,159,59551
