"RECORD","TP","TN","FP","FN","LEN(oracle)"
"03665",10985,41416,289,72,52764
"08434",2310,37369,168,0,39849
"06995",26961,25640,2023,562,55188
"08219",12645,42555,2541,1549,59292
"04043",8544,44321,2957,6090,61914
"07162",39198,0,0,97,39297
"04908",5491,55055,892,319,61759
"08378",11008,33891,144,469,45514
"08215",32958,10178,45,172,43355
"05121",32689,14923,1195,1071,49880
"04015",485,40812,2665,40,44004
"04126",3021,38795,769,272,42859
"07879",39943,16496,60,92,56593
"05091",0,36594,56,140,36792
"00735",277,39846,52,55,40232
"08455",44103,15246,39,161,59551
"06426",52095,796,1223,1038,55154
"05261",654,44217,380,280,45533
"06453",117,34272,117,328,34836
"08405",45003,13758,0,92,58855
"07859",60166,0,0,97,60265
"04746",30732,16902,95,141,47872
"07910",6499,29722,104,271,36598
"04936",32662,12362,1600,7019,53645
"04048",419,38982,136,394,39933
